name,state,location,control,for_profit,religious_affiliation,degree_type,distance,historically_black,enrollment,founded_in,closed_merged_in,accreditation
Madonna University,Michigan,Livonia,Private,0,Catholic,Masters University,,,"3,298",1900,,"HLC, ADA, ABA, CCNE, TCATE, NLNAC"
Lawrence Technological University,Michigan,Southfield,Private,0,Secular,Masters University,,,"3,309",1900,,"HLC, NASAD"
Algona College,Iowa,Algona,Private,1,Mesthodist,,,,,1900,1875,
Straight University,Louisiana,New Orleans,Private,0,Christian,Baccalaureate College,,,,1900,1934,
Wayne State University,Michigan,Detroit,Public,0,0,Doctoral University,,,"27,238",1900,,"HLC, MEAC, ACPE, ABA, ABFSE, ADA, AOTA, APTA, APA, ASHA, CCNE, AANA, CEPH, JRCERT, LCME, NASD, NASM, NAST, ABET"
"Minnesota State University, Mankato",Minnesota,Mankato,Public,0,Non-sectarian,Masters University,,,"15,435",1900,,"HLC, ADA, ADA, ASHA, CCNE, NASAD, NASM, NCATE, NLNAC"
Nebraska College and Divinity School,Nebraska,Nebraska City,x,x,0,Seminary,,,,1901,1885,
Bloomfield College,New Jersey,Bloomfield,Private,1,Presbytarian,Baccalaureate College,,,"2,156",1901,,MSCHE
Wells College,New York,Aurora,Private,1,0,Baccalaureate College,,,559,1901,,
SUNY College at Cortland,New York,Cortland,Public,0,Secularism,,,,"7,915",1901,,
Yeshiva Gedolah of Greater Detroit,Michigan,Oak Park,Private,0,Non-sectarian,Seminary,,,67,1901,,AARTS
Ecumenical Theological Seminary,Michigan,Detroit,Private,0,Christian,Seminary,,,84,1901,,ATS
Grand Rapids Theological Seminary,Michigan,Grand Rapids,Private,1,Catholic,Seminary,,,,1901,Merged into Cornerstone University,
Moody Theological Seminary–Michigan,Michigan,Plymouth,Private,0,Evangelical,Seminary,,,,1901,,None
Oregon State University,Oregon,Corvallis,Public,1,0,Doctoral University,,,"19,590",1901,,
Keystone College,Pennsylvania,La Plume Township(Lackawanna County),Private,1,Secular,x,,,"1,759",1901,,
Technical College of the Lowcountry,South Carolina,Beaufort[m],Public,0,Non-sectarian,Associates College,,,2247,1901,,SACS
Michigan School of Professional Psychology,Michigan,Farmington Hills,Private,0,Secular,Special Focus: Psychology,,,140,1901,,HLC
Cranbrook Academy of Art,Michigan,Bloomfield Hills,Private,0,Non-sectarian,Specialized Focus: Art,,,140,1901,,"HLC, NASAD"
Hampton University,Virginia,Hampton,Private,1,Non-sectarian,Masters University,,,"4,321",1901,,SACS
Sullins College,Virginia,Bristol,x,x,Methodist,,,,,1901,1976,
Western Michigan University Cooley Law School,Michigan,Lansing,Private,0,Non-sectarian,Specialized Focus: Law,,,"1,285",1901,,"HLC, ABA"
University of Wisconsin–Whitewater,Wisconsin,Whitewater,Public,0,0,Masters University,,,"11,557",1901,,"HLC, ASHA, NASAD, NASM, NAST, NCATE"
Keweenaw Bay Ojibwa Community College,Michigan,Baraga,Public,0,Non-sectarian,Tribal college,,,104,1901,,HLC
Saginaw Chippewa Tribal College,Michigan,Mount Pleasant,Public,0,Non-sectarian,Tribal college,,,141,1901,,HLC
Bay Mills Community College,Michigan,Brimley,Public,0,Non-sectarian,Tribal college,,,467,1901,,HLC
Robert B. Miller College,Michigan,Battle Creek,Private,0,Non-sectarian,,,,,1902,2016,
Michigan Jewish Institute,Michigan,West Bloomfield Township,Private,0,Jewish,,,,,1902,2016,
International Academy of Design and Technology,Michigan,Troy,Private,1,Non-sectarian,,,,,1902,2016,
Jordan College,Michigan,Various,Private,1,Islam,,,,,1902,1996,
Mackinac College,Michigan,Mackinac Island,Private,1,Christian,,,,,1902,1973,
Maryglade College,Michigan,Memphis,Private,1,Catholic,,,,,1902,1974,
William Tyndale College,Michigan,Farmington Hills,Private,1,Christian,,,,,1902,2004,
Duns Scotus College,Michigan,Southfield,Private,1,Fanciscan,,,,,1902,1979,
"University of California, Berkeley",California,Berkeley,Public,0,Non-sectarian,Baccalaureate College,,,"42,519",1902,,
Southern Illinois University Carbondale,Illinois,Carbondale,Public,1,Christian,Baccalaureate College,,,"14,554",1902,,
Purdue University,Indiana,West Lafayette,Public,0,0,Doctoral University,,,"40,393",1902,,"HLC, ACPE, ADA, APA, ASHA, AVMA, CCNE, NAST, TCATE"
Dillard University* - New Orleans,Louisiana,,Private,0,"United Church of Christ, United Methodist Church",Baccalaureate College,,,,1902,,
Woodstock College,Maryland,Woodstock,x,x,Christian,,,,,1903,1974,
St. Cloud State University,Minnesota,St. Cloud,Public,0,Secular,Masters University,,,"18,650",1903,,"HLC, AAMFT, ASHA, CCNE, NASAD, NASM, NCATE"
Augsburg University,Minnesota,Minneapolis,Private,0,Lutheran,Masters University,,,"4,073",1903,,"CCNE, NASM, NCATE"
Institute of Production and Recording,Minnesota,Minneapolis,Private,1,Non-sectarian,Associates College,,,456,1903,,ACCSC
Ridgewater College,Minnesota,"Hutchinson, Willmar",Public,0,Non-sectarian,Associates College,,,"4,373",1903,,"HLC, NLNAC"
Minneapolis Community and Technical College,Minnesota,Minneapolis,Public,0,Non-sectarian,Associates College,,,"10,545",1903,,"HLC, ADA, NLNAC"
Mesabi Range College,Minnesota,"Virginia, Eveleth",Public,0,Secular,Associates College,,,"1,738",1903,,HLC
Lake Superior College,Minnesota,Duluth,Public,0,Non-sectarian,Associates College,,,"5,186",1903,,"HLC, ADA, APTA, JRCERT"
Fairlakes State Junior College,Minnesota,Fairmont,Public,0,Roman Catholic Church,Associates College,,,,1903,1975,
Hennepin Technical College,Minnesota,"Brooklyn Park, Eden Prairie",Public,0,Non-sectarian,Associates College,,,"6,728",1903,,HLC
Inver Hills Community College,Minnesota,Inver Grove Heights,Public,0,Non-sectarian,Associates College,,,"6,374",1903,,"HLC, NLNAC"
Dakota County Technical College,Minnesota,Rosemount,Public,0,Christian,Associates College,,,"3,673",1903,,"HLC, ADA"
Normandale Community College,Minnesota,Bloomington,Public,0,Non-sectarian,Associates College,,,"10,169",1903,,"HLC, ADA, ADA, NASAD, NASM, NAST, CCNE"
Rainy River Community College,Minnesota,International Falls,Public,0,Secular,Associates College,,,366,1903,,HLC
Minnesota West Community and Technical College,Minnesota,"Granite Falls, Canby, Jackson, Pipestone, Worthington",Public,0,Non-sectarian,Associates College,,,"3,465",1903,,HLC
Century College,Minnesota,White Bear Lake,Public,0,Christian,Associates College,,,"10,918",1903,,"HLC, ADA, JRCERT"
Anoka Technical College,Minnesota,Anoka,Public,0,Non-sectarian,Associates College,,,"2,580",1903,,"AOTA, NLNAC"
University of Minnesota Rochester,Minnesota,Rochester,Public,0,Catholic,Associates College,,,143,1903,,AOTA
North Hennepin Community College,Minnesota,Brooklyn Park,Public,0,Christian,Associates College,,,"7,505",1903,,"HLC, NLNAC"
Northwest Technical College,Minnesota,Bemidji,Public,0,Methodist,Associates College,,,"1,424",1904,,"HLC, ADA"
Pine Technical and Community College,Minnesota,Pine City,Public,0,Secular,Associates College,,,"1,047",1904,,HLC
Anoka-Ramsey Community College,Minnesota,"Coon Rapids, Cambridge",Public,0,Non-sectarian,Associates College,,,"9,419",1904,,HLC
Alexandria Technical and Community College,Minnesota,Alexandria,Public,0,Secular,Associates College,,,"2,707",1904,,HLC
Minnesota State Community and Technical College,Minnesota,"Fergus Falls, Detroit Lakes, Moorhead, Wadena",Public,0,Non-sectarian,Associates College,,,"6,981",1904,,HLC
Northwest Technical Institute,Minnesota,Eagan,Private,1,Non-sectarian,Associates College,,,67,1904,,ACCSC
Northland Community & Technical College,Minnesota,"Thief River Falls, East Grand Forks",Public,0,Non-sectarian,Associates College,,,"4,135",1904,,"HLC, NLNAC"
Minnesota State College Southeast,Minnesota,"Winona, Red Wing",Public,0,Non-sectarian,Associates College,,,"2,626",1904,,HLC
St. Cloud Technical and Community College,Minnesota,St. Cloud,Public,0,Non-sectarian,Associates College,,,"4,883",1904,,"HLC, ADA"
South Central College,Minnesota,"North Mankato, Faribault",Public,0,Non-sectarian,Associates College,,,"4,268",1904,,"HLC, ADA"
Riverland Community College,Minnesota,"Albert Lea, Austin, Owatonna",Public,0,Non-sectarian,Associates College,,,"4,015",1905,,"HLC, JRCERT, NLNAC"
Central Lakes College,Minnesota,"Brainerd, Staples",Public,0,Non-sectarian,Associates College,,,"4,447",1905,,"HLC, ADA"
Luther Seminary,Minnesota,St. Paul,Private,0,Lutheran,Seminary,,,796,1905,,"ATS, HLC"
Tougaloo College - Tougaloo,Mississippi,,Private,1,Disciples of Christ,Baccalaureate College,,,,1905,,
University of Nebraska–Lincoln,Nebraska,Lincoln,Public,0,Christians,Baccalaureate College,,,"21,792",1905,,
Saint Michael's Monastery,New Jersey,Union City,x,x,Catholic,,,,,1905,1984,
Yeshiva Karlin Stolin,New York,Brooklyn,Private,1,Jewish,Seminary,,,118,1905,,
Art Academy of Cincinnati,Ohio,Cincinnati,Private,0,0,Specialized Focus: Art,,,,1905,,
Ashland College & Normal School,Oregon,Ashland,Public,1,Christian,,,,,1905,,
Chatham University,Pennsylvania,Pittsburgh (Allegheny County),Private,1,Secular,x,,,"2,266",1905,,
Martin Luther College,Minnesota,New Ulm,Private,0,Lutheran,Baccalaureate College,,,837,1905,,HLC
University of Minnesota Crookston,Minnesota,Crookston,Public,0,Non-sectarian,Baccalaureate College,,,"2,528",1905,,HLC
University of Minnesota Morris,Minnesota,Morris,Public,0,Non-sectarian,Baccalaureate College,,,"1,811",1905,,"HLC, NCATE"
Brown College,Minnesota,"Mendota Heights, Brooklyn Center",Private,1,Non-sectarian,Baccalaureate College,,,,1905,2015,
Academy College,Minnesota,Minneapolis,Private,0,Christian,Baccalaureate College,,,205,1905,,ACCSC
North Central University,Minnesota,Minneapolis,Private,0,Assemblies of God,Baccalaureate College,,,"1,381",1906,,HLC
Bethany Lutheran College,Minnesota,Mankato,Private,0,Lutheran,Baccalaureate College,,,607,1906,,HLC
Ursinus College,Pennsylvania,Collegeville(Montgomery County),Private,1,Non-sectarian,x,,,"1,802",1906,,
Wilson College,Pennsylvania,Chambersburg(Franklin County),Private,1,Presbyterian Church (USA),x,,,807,1906,,
Claflin University[c],South Carolina,Orangeburg,Private,1,Methodist,Baccalaureate College,,,2172,1906,,SACS
Freed-Hardeman University,Tennessee,Henderson,Private,1,Churches of Christ,Masters University,,,,1906,,
Trinity University,Texas,,Private,1,0,Baccalaureate College,,,,1906,,
Colorado State University,Colorado,Fort Collins,Public,1,0,Doctoral University,,,"33,694",1906,,
Colorado State University,Colorado,Pueblo,Public,0,0,Doctoral University,,,"6,736",1906,,
Colorado State University Global,Colorado,Greenwood Village,Public,0,0,Doctoral University,,,,1906,,
Capella University,Minnesota,Minneapolis,Private,1,Non-sectarian,Doctoral University,,,"39,457",1906,,"HLC, NCATE"
Walden University,Minnesota,Minneapolis,Private,1,Non-sectarian,Doctoral University,,,"47,456",1906,,"HLC, NLNAC, CCNE"
Loyola University,Illinois,Chicago,Private,0,Jesuit Catholic,Baccalaureate College,,,,1906,,
Leland College,Louisiana,New Orleans,Private,0,Nondenominational,Baccalaureate College,,,,1906,1960,
Metropolitan State University,Minnesota,"St. Paul, Minneapolis",Public,0,Non-sectarian,Masters University,,,"7,787",1906,,"HLC, CCNE"
Southwest Minnesota State University,Minnesota,Marshall,Public,0,Non-sectarian,Masters University,,,"6,611",1906,,"HLC, NASM"
University of Minnesota Duluth,Minnesota,Duluth,Public,0,Non-sectarian,Masters University,,,"11,729",1906,,"HLC, ASHA, NASM, NCATE"
William Woods University,Missouri,Fulton,Private,1,Disciples of Christ,Baccalaureate College,,,"3,000",1906,,
Missouri University of Science and Technology,Missouri,Rolla,Public,0,0,Doctoral University,,,"8,838",1906,,
Stevens Institute of Technology,New Jersey,Hoboken,Private,1,0,Doctoral University,,,"5,260",1906,,MSCHE
CUNY Hunter College,New York,New York,Public,0,Secular,Associates College,,,"28,711",1906,,
Hunter College,New York,Manhattan,Public,0,Non-sectarian,Baccalaureate College,,,"20,845",1907,,
Syracuse University,New York,Syracuse,Private,1,0,Doctoral University,,,"35,071",1907,,
Canisius College,New York,Buffalo,Private,1,Jesuit,,,,"4,958",1907,,
St John's University-New York,New York,Queens,Private,1,Catholic,,,,"22,436",1907,,
University of Akron,Ohio,Akron,Public,0,0,Doctoral University,,,,1907,,
Ohio State University[18],Ohio,Columbus,Public,0,0,Doctoral University,,,,1907,,
Wilmington College,Ohio,Wilmington,Private,0,0,Masters University,,,,1907,,
Miami Valley College,Ohio,Springboro,Private,1,Christian,,,,,1907,1883,
United Theological Seminary of the Twin Cities,Minnesota,New Brighton,Private,0,United Church of Christ,Seminary,,,171,1907,,"ATS, HLC"
Pillsbury Baptist Bible College,Minnesota,Owatonna,Private,0,Independent Baptist,Seminary,,,,1907,2008,
Bethany Global University,Minnesota,Bloomington,Private,0,Christian,Seminary,,,135,1907,,ABHE
Oak Hills Christian College,Minnesota,Bemidji,Private,0,Christian,Seminary,,,138,1907,,ABHE
Allen University,South Carolina,Columbia,Private,1,A.M.E Church,Baccalaureate College,,,743,1908,,SACS
The Art Institutes International Minnesota,Minnesota,Minneapolis,Private,1,Non-sectarian,Specialized Focus: Art,,,"1,994",1908,,"ACICS, HLC"
College of Visual Arts,Minnesota,St. Paul,Private,0,Non-sectarian,Specialized Focus: Art,,,,1908,2013,
Benedict College,South Carolina,Columbia,Private,1,Baptist,Baccalaureate College,,,2165,1908,,SACS
Washington Online Learning Institute,Minnesota,Minneapolis,Private,1,Non-sectarian,Specialized Focus: Career,,,409,1908,,MSA
Adler Graduate School,Minnesota,Minnetonka,Private,0,Non-sectarian,Specialized Focus: Graduate Study,,,421,1908,,HLC
Martin Methodist College,Tennessee,Pulaski,Private,1,0,Baccalaureate College,,,,1908,,
Hazelden Graduate School of Addiction Studies,Minnesota,Center City,Private,0,Non-sectarian,Specialized Focus: Medicine,,,105,1908,,HLC
American Academy of Acupuncture and Oriental Medicine,Minnesota,Roseville,Private,1,Non-sectarian,Specialized Focus: Medicine,,,107,1908,,ACAOM
International Center for Naturobioholistic Health and Medicine,Minnesota,"Bemidji, Minnesota",Private,1,Non-sectarian,Specialized Focus: Medicine,,,,1908,1984,ACICS
Northwestern Health Sciences University,Minnesota,Bloomington,Private,0,Non-sectarian,Specialized Focus: Medicine,,,852,1908,,"HLC, CMTA, CCE"
"Judsonia University, Judsonia, Arkansas",Arkansas,x,x,x,Judsonia Church of Christ ,Baccalaureate College,,,,1908,2010,
McNally Smith College of Music,Minnesota,St. Paul,Private,1,Non-sectarian,Specialized Focus: Music,,,,1908,2017,
White Earth Tribal and Community College,Minnesota,Mahnomen,Public,0,Non-sectarian,Tribal college,,,121,1908,,HLC
Leech Lake Tribal College,Minnesota,Cass Lake,Public,0,Non-sectarian,Tribal college,,,23500,1908,,None
Fond du Lac Tribal and Community College,Minnesota,Cloquet,Public,0,Non-sectarian,Tribal college,,,"2,339",1908,,"The Higher Learning Commission, HLC"
Argosy University,Minnesota,Eagan,Private,1,Christian,,,,,1908,2019,
University of Minnesota Waseca,Minnesota,Waseca,Public,0,Catholic,,,,,1908,1992,
Lea College,Minnesota,Albert Lea,Private,1,Christian,,,,,1908,1973,
University of Arkansas,Arkansas,Fayetteville,Public,0,0,Doctoral University,,,"25,341",1908,,
Shepherd University,California,,x,x,Christian,Baccalaureate College,,,,1908,2017,
Elmhurst College,Illinois,Elmhurst,Private,1,Christian,Baccalaureate College,,,"2,838",1909,,
Bethel University,Minnesota,Arden Hills,Private,0,Baptist,Masters University,,,"4,242",1909,,"HLC, CCNE, NCATE, NLNAC"
Alcorn State University - Lorman,Mississippi,,Public,0,Non-sectarian,Baccalaureate College,,1,,1909,,
University of Central Missouri,Missouri,Warrensburg,Public,0,0,Masters University,,,"14,395",1909,,
Plymouth State University,New Hampshire,Plymouth,Public,0,Catholic,Masters University,,,"5,120",1909,,
Ohio Northern University,Ohio,Ada,Private,1,0,Baccalaureate College,,,,1909,,
Ursuline College,Ohio,Pepper Pike,Private,0,0,Masters University,,,,1909,,
Saint Michael's College,Oregon,Portland,x,x,Catholic,,,,,1909,1928,
Yankton College,South Dakota,Yankton,Private,1,Christian,,,,,1909,1984,
"Mississippi Valley State University, Mississippi Valley State",Mississippi,,Public,0,Non-sectarian,Baccalaureate College,,1,,1909,,
Bethel University,Tennessee,McKenzie,Private,1,Cumberland Presbyterian,Masters University,,,,1909,,
Christian Brothers University,Tennessee,Memphis,Private,1,Catholic,Masters University,,,,1909,,
Alderson Broaddus University,West Virginia,Philippi,Private,0,0,Baccalaureate College,,,870,1909,,"ACEN, HLC, NCATE, TEAC"
Shepherd University,West Virginia,Shepherdstown,Public,1,0,Masters University,,,"4,326",1909,,"CCNE, NASM, NCATE, HLC"
University of Wisconsin–Oshkosh,Wisconsin,Oshkosh,Public,0,0,Masters University,,,"13,629",1909,,"HLC, CCNE, NASM, NCATE"
Lyon College,Arkansas,Batesville,Private,0,Presbytarian,Baccalaureate College,,,592,1909,,
Maryville University,Missouri,Town and Country,Private,1,Nonsectarian,Baccalaureate College,,,"3,600",1909,,
Doane University,Nebraska,,Private,1,"United Church of Christ, United Methodist Church",Baccalaureate College,,,"2,950",1909,,
University of Toledo,Ohio,Toledo,Public,0,0,Doctoral University,,,,1909,,
Lander University,South Carolina,Greenwood,Public,0,0,Baccalaureate College,,,3044,1909,,SACS
Paul Quinn College,Texas,,Private,0,0,Baccalaureate College,,1,,1909,,
Paul Quinn College,Texas,,Private,1,0,Baccalaureate College,,1,,1909,,
Reformed Theological Seminary - Jackson,Mississippi,,Private,1,Reformed,Seminary,,,,1909,,
Wesley Biblical Seminary - Jackson,Mississippi,,Private,1,Christian,Seminary,,,,1909,,
